INFO 03:31:41: Loading World
INFO 03:31:41: Making Window
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:37:22: Gen 2 Best: 40.40, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:37:23: Gen 3 Best: 48.40, Median: 0.00, 75th: 0.00, Best Passes: 3, Median Passes: 0
INFO 03:37:24: Gen 4 Best: 57.00, Median: 2.00, 75th: 0.00, Best Passes: 5, Median Passes: 2
INFO 03:37:25: Gen 5 Best: 47.20, Median: 2.00, 75th: 0.00, Best Passes: 5, Median Passes: 0
INFO 03:37:26: Gen 6 Best: 53.80, Median: 2.00, 75th: 0.00, Best Passes: 3, Median Passes: 0
INFO 03:37:27: Gen 7 Best: 59.40, Median: 8.00, 75th: 1.00, Best Passes: 4, Median Passes: 0
INFO 03:37:29: Gen 8 Best: 49.80, Median: 10.60, 75th: 2.00, Best Passes: 4, Median Passes: 0
INFO 03:37:30: Gen 9 Best: 54.00, Median: 13.00, 75th: 2.00, Best Passes: 5, Median Passes: 0
INFO 03:37:31: Gen 10 Best: 54.40, Median: 13.80, 75th: 6.00, Best Passes: 4, Median Passes: 0
INFO 03:37:33: Gen 11 Best: 52.00, Median: 14.60, 75th: 10.40, Best Passes: 6, Median Passes: 0
INFO 03:37:34: Gen 12 Best: 66.00, Median: 16.00, 75th: 11.00, Best Passes: 4, Median Passes: 0
INFO 03:37:35: Gen 13 Best: 59.00, Median: 16.20, 75th: 12.60, Best Passes: 4, Median Passes: 0
INFO 03:37:37: Gen 14 Best: 87.80, Median: 15.80, 75th: 11.00, Best Passes: 6, Median Passes: 0
INFO 03:37:38: Gen 15 Best: 87.40, Median: 15.40, 75th: 12.20, Best Passes: 5, Median Passes: 0
INFO 03:37:40: Gen 16 Best: 57.40, Median: 17.20, 75th: 12.00, Best Passes: 7, Median Passes: 0
INFO 03:37:41: Gen 17 Best: 67.20, Median: 15.20, 75th: 8.80, Best Passes: 6, Median Passes: 0
INFO 03:37:42: Gen 18 Best: 87.60, Median: 14.40, 75th: 9.80, Best Passes: 5, Median Passes: 0
INFO 03:37:44: Gen 19 Best: 87.80, Median: 16.20, 75th: 9.00, Best Passes: 6, Median Passes: 0
INFO 03:37:45: Gen 20 Best: 60.00, Median: 16.60, 75th: 9.20, Best Passes: 6, Median Passes: 0
INFO 03:37:46: Gen 21 Best: 58.20, Median: 16.40, 75th: 11.60, Best Passes: 4, Median Passes: 0
